funded_amnt,emp_length,annual_inc,home_ownership,grade,last_pymnt_amnt,mort_acc,pub_rec,int_rate,open_acc,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths,loan_status
8000.0,4,30000.0,5,4,2451.18,0.0,0.0,17.77,9.0,5.675353736832263,14.10822232888069,178.48733084417407,84.3,830.0,13796.095652770158,3.0,0
8000.0,10,75000.0,5,4,288.3,9.0,0.0,17.77,13.0,10.0,2.0,151.0,89.8,1144.0,1844.0,8.0,1
7750.0,4,42000.0,5,4,284.29,0.0,0.0,19.05,13.0,3.0,9.0,34.0,95.0,151.0,3504.0,8.0,1
15700.0,3,95000.0,4,5,9788.06,3.0,0.0,15.31,8.0,3.0,4.0,220.0,88.5,345.0,28201.0,2.0,0
20125.0,2,51000.0,6,5,684.71,0.0,0.0,13.68,11.0,7.0,20.0,198.0,90.9,924.0,4480.0,5.0,1
16000.0,10,52000.0,6,7,64.25,2.0,0.0,8.9,8.0,4.0,17.0,140.0,59.1,8507.0,22225.0,2.0,0
16000.0,10,37000.0,5,2,50.0,0.0,0.0,24.08,5.0,4.0,2.0,147.0,100.3,0.0,2242.0,3.0,1
4650.0,7,46000.0,6,5,163.94,0.0,0.0,16.2,5.0,2.0,4.0,32.0,56.7,3897.0,18102.0,4.0,1
22000.0,1,56000.0,6,5,22081.68,5.0,0.0,17.27,12.0,6.0,2.0,230.0,33.8,25497.0,3525.0,3.0,0
3000.0,1,42000.0,5,6,64.84,0.0,0.0,10.74,9.0,5.675353736832263,14.10822232888069,178.48733084417407,72.0,336.0,13796.095652770158,2.0,1
28000.0,10,149931.0,6,5,659.17,3.0,0.0,14.33,12.0,7.0,3.0,272.0,49.1,35153.0,22512.0,4.0,0
8650.0,2,96000.0,5,5,1772.47,0.0,0.0,15.8,6.0,4.0,1.0,60.0,59.5,4187.0,3331.0,6.0,0
8325.0,2,25000.0,6,5,285.87,5.0,0.0,14.33,10.0,4.0,4.0,156.0,88.5,471.0,11346.0,7.0,1
7125.0,7,45000.0,5,5,249.71,0.0,0.0,15.88,12.0,7.0,4.0,52.0,59.9,1405.0,1558.0,9.0,0
14000.0,2,40000.0,6,6,479.05,0.0,0.0,14.09,7.0,5.0,3.0,161.0,89.5,1031.0,2236.0,1.0,0
11500.0,10,64400.0,4,7,357.88,2.0,0.0,6.62,11.0,5.0,4.0,366.0,67.8,5996.0,1857.0,4.0,0
15000.0,3,50000.0,6,4,540.56,3.0,0.0,17.77,10.0,7.0,0.0,456.0,94.7,727.0,19256.0,4.0,1
24000.0,10,100000.0,5,6,1636.97,0.0,0.0,12.12,7.0,5.0,9.0,75.0,80.9,6951.0,5181.0,2.0,1
30225.0,5,102000.0,6,6,1005.64,2.0,0.0,12.12,9.0,8.0,40.0,368.0,96.4,756.0,59502.0,0.0,1
14100.0,4,46000.0,5,3,12659.62,0.0,0.0,23.1,7.0,4.0,40.0,70.0,101.2,0.0,2335.0,1.0,0
25200.0,10,67000.0,6,2,19822.9,4.0,1.0,23.63,7.0,2.0,24.0,140.0,70.2,149.0,41468.0,5.0,0
22400.0,3,56000.0,5,2,31.98,0.0,0.0,22.45,15.0,5.675353736832263,14.10822232888069,178.48733084417407,71.4,5842.0,13796.095652770158,7.0,1
10000.0,2,52000.0,4,7,2834.29,0.0,1.0,8.9,17.0,5.0,16.0,163.0,86.7,213.0,3735.0,3.0,0
35000.0,9,123134.0,6,2,996.75,0.0,0.0,23.5,7.0,4.0,7.0,180.0,96.8,534.0,13481.0,5.0,1
30750.0,10,149000.0,6,6,1020.9,9.0,0.0,11.99,16.0,10.0,78.0,182.0,86.3,13318.0,27659.0,5.0,0
18350.0,10,50000.0,6,6,7626.46,3.0,0.0,13.11,7.0,4.0,3.0,108.0,99.3,92.0,38872.0,1.0,0
27000.0,2,145000.0,6,5,1169.45,11.0,0.0,16.29,6.0,1.0,14.0,100.0,20.1,1597.0,44801.0,6.0,0
14400.0,3,135000.0,4,6,6161.75,0.0,0.0,9.67,11.0,8.0,10.0,61.0,36.2,35802.0,2909.0,9.0,0
35000.0,6,78341.0,6,4,931.19,2.0,0.0,20.2,8.0,4.0,4.0,165.0,75.2,11811.0,30927.0,2.0,1
4000.0,7,30000.0,5,7,124.08,1.8110042285638381,0.0,6.03,13.0,5.675353736832263,14.10822232888069,178.48733084417407,66.8300107785702,8262.878065935047,13796.095652770158,3.929481502800593,0
19200.0,10,90000.0,6,6,640.93,5.0,0.0,12.35,12.0,8.0,6.0,175.0,83.5,4749.0,19974.0,5.0,1
15000.0,6,107000.0,6,5,515.08,0.0,0.0,14.33,8.0,5.675353736832263,14.10822232888069,178.48733084417407,60.6,2682.0,13796.095652770158,3.0,1
11975.0,9,35000.0,5,6,5463.09,0.0,0.0,9.67,11.0,4.0,6.0,168.0,25.6,23583.0,1993.0,3.0,0
3000.0,3,15000.0,4,4,108.1,0.0,0.0,17.76,9.0,8.0,2.0,29.0,51.7,2319.0,584.0,7.0,1
11700.0,1,35000.0,5,4,421.64,0.0,0.0,17.77,14.0,3.0,7.0,92.0,102.7,0.0,3868.0,1.0,1
